phase litter rat times oregano AP
3 20 120 4 1 136.3
3 21 121 0 0 132.2
3 21 121 2 0 142.4
3 21 121 4 0 142.5
3 21 122 0 0 130.0
3 21 122 2 0 132.0
3 21 122 4 0 112.8
3 21 123 0 1 148.1
3 21 123 2 1 161.5
3 21 123 4 1 151.7
3 21 124 0 1 133.1
3 21 124 2 1 140.2
3 21 124 4 1 128.7
3 21 125 0 1 132.2
3 21 125 2 1 131.3
3 21 125 4 1 145.0
3 21 126 0 0 135.4
3 21 126 2 0 120.0
3 21 126 4 0 129.3
3 22 127 0 0 158.0
3 22 127 2 0 161.2
3 22 127 4 0 168.0
3 22 128 0 0 144.1
3 22 128 2 0 156.1
3 22 128 4 0 151.1
3 22 129 0 0 149.1
3 22 129 2 0 165.2
3 22 129 4 0 146.6
3 22 130 0 1 159.6
3 22 130 2 1 139.0
3 22 130 4 1 155.4
3 22 131 0 1 156.5
3 22 131 2 1 153.1
3 22 131 4 1 154.6
3 22 132 0 1 155.7
3 22 132 2 1 151.2
3 22 132 4 1 157.3
3 23 133 0 1 138.4
3 23 133 2 1 134.0
3 23 133 4 1 121.1
3 23 134 0 0 150.0
3 23 134 2 0 148.8
3 23 134 4 0 134.6
3 23 135 0 0 144.8
3 23 135 2 0 144.1
3 23 135 4 0 150.2
3 23 136 0 1 150.4
3 23 136 2 1 133.7
3 23 136 4 1 144.2
3 23 137 0 1 126.1
3 23 137 2 1 130.9
3 23 137 4 1 129.4
3 23 138 0 0 157.8
3 23 138 2 0 145.4
3 23 138 4 0 149.4
3 24 139 0 1 146.9
3 24 139 2 1 144.6
3 24 139 4 1 144.1
3 24 140 0 0 145.5
3 24 140 2 0 145.1
3 24 140 4 0 142.0
3 24 141 0 1 145.8
3 24 141 2 1 145.3
3 24 141 4 1 139.2
3 24 142 0 0 154.3
3 24 142 2 0 145.0
3 24 142 4 0 140.9
3 24 143 0 0 144.6
3 24 143 2 0 130.1
3 24 143 4 0 144.3
3 24 144 0 1 154.7
3 24 144 2 1 147.4
3 24 144 4 1 156.4
